YIELDCURVE,,,,,,,,,,,,,,,,,,,YIELDCURVEPOINT,,/YIELDCURVEPOINT,BENCHMARK,,,,/BENCHMARK,YIELDCURVELINK,,/YIELDCURVELINK,/YIELDCURVE
CALCULATION_FORMAT,CURR.INSID,DATA,ESTIMATION_TYPE,EXTRAPOL_TYPE_LONG_END,EXTRAPOL_TYPE_SHORT_END,INTERPOLATION_TYPE,IPOL_RATE_TYPE,IR_FORMAT,MULTI_CURVE_OWNER_TYPE,REF_INSADDR.INSID,RISK_TYPE,STORAGE_CALC_TYPE,STORAGE_DAYCOUNT,STORAGE_RATE_TYPE,UPDATE_INTERVAL,USE_BM_DATES,YIELD_CURVE_NAME,YIELD_CURVE_TYPE,INSADDR.INSID,VALUE,,BENCHMARK_SHIFT_TYPE,DATE_METHOD,INSTRUMENT.INSID,SPREAD_TYPE,,MEMBER_YC_SEQNBR.YIELD_CURVE_NAME,OWNER_TYPE,,
Use Storage Format,CAD,,Boot Strap,Default,Default,Piecewise Quadratic (Cont Fwd),Spot Rate,Zero Coupon Curve,Simultaneous,CAD/CORRA,Interest Rate,Spot Rate,Act/365,Continuous,60,1,CAD-CORRA,Benchmark,CAD/CORRA,0.001599989,,Down,End Date,CAD/IRS/CO1D-CD3M/30Y,No,,CAD-3M,Multi-Curve,,
,,,,,,,,,,,,,,,,,,,CAD/IRS/CO1D-F/1W,0.00159998,,Down,End Date,CAD/IRS/CO1D-CD3M/20Y,No,,,,,
,,,,,,,,,,,,,,,,,,,CAD/IRS/CO1D-F/2W,0.001624662,,Down,End Date,CAD/IRS/CO1D-CD3M/15Y,No,,,,,
,,,,,,,,,,,,,,,,,,,CAD/IRS/CO1D-F/1M,0.001808965,,Down,End Date,CAD/IRS/CO1D-CD3M/12Y,No,,,,,
,,,,,,,,,,,,,,,,,,,CAD/IRS/CO1D-F/2M,0.001733387,,Down,End Date,CAD/IRS/CO1D-CD3M/10Y,No,,,,,
,,,,,,,,,,,,,,,,,,,CAD/IRS/CO1D-F/3M,0.002102862,,Down,End Date,CAD/IRS/CO1D-CD3M/7Y,No,,,,,
,,,,,,,,,,,,,,,,,,,CAD/IRS/CO1D-F/4M,0.002506291,,Up,End Date,CAD/IRS/CO1D-F/5Y,No,,,,,
,,,,,,,,,,,,,,,,,,,CAD/IRS/CO1D-F/5M,0.002912144,,Up,End Date,CAD/IRS/CO1D-F/4Y,No,,,,,
,,,,,,,,,,,,,,,,,,,CAD/IRS/CO1D-F/6M,0.003358157,,Up,End Date,CAD/IRS/CO1D-F/3Y,No,,,,,
,,,,,,,,,,,,,,,,,,,CAD/IRS/CO1D-F/9M,0.005072067,,Up,End Date,CAD/IRS/CO1D-F/2Y,No,,,,,
,,,,,,,,,,,,,,,,,,,CAD/IRS/CO1D-F/1Y,0.006912091,,Up,End Date,CAD/IRS/CO1D-F/1Y,No,,,,,
,,,,,,,,,,,,,,,,,,,CAD/IRS/CO1D-F/2Y,0.01159929,,Up,End Date,CAD/IRS/CO1D-F/9M,No,,,,,
,,,,,,,,,,,,,,,,,,,CAD/IRS/CO1D-F/3Y,0.014038861,,Up,End Date,CAD/IRS/CO1D-F/6M,No,,,,,
,,,,,,,,,,,,,,,,,,,CAD/IRS/CO1D-F/4Y,0.015109504,,Up,End Date,CAD/IRS/CO1D-F/5M,No,,,,,
,,,,,,,,,,,,,,,,,,,CAD/IRS/CO1D-F/5Y,0.01537707,,Up,End Date,CAD/IRS/CO1D-F/4M,No,,,,,
,,,,,,,,,,,,,,,,,,,CAD/IRS/CO1D-CD3M/7Y,0.016182117,,Up,End Date,CAD/IRS/CO1D-F/3M,No,,,,,
,,,,,,,,,,,,,,,,,,,CAD/IRS/CO1D-CD3M/10Y,0.017448367,,Up,End Date,CAD/IRS/CO1D-F/2M,No,,,,,
,,,,,,,,,,,,,,,,,,,CAD/IRS/CO1D-CD3M/12Y,0.018182852,,Up,End Date,CAD/IRS/CO1D-F/1M,No,,,,,
,,,,,,,,,,,,,,,,,,,CAD/IRS/CO1D-CD3M/15Y,0.018948863,,Up,End Date,CAD/IRS/CO1D-F/2W,No,,,,,
,,,,,,,,,,,,,,,,,,,CAD/IRS/CO1D-CD3M/20Y,0.01972385,,Up,End Date,CAD/IRS/CO1D-F/1W,No,,,,,
,,,,,,,,,,,,,,,,,,,CAD/IRS/CO1D-CD3M/30Y,0.01882123,,Up,End Date,CAD/CORRA,No,,,,,
,,,,,,,,,,,,,,,,,,,CAD/IRS/CO1D-CD3M/25Y,0.019549163,,Down,End Date,CAD/IRS/CO1D-CD3M/25Y,No,,,,,
