YIELDCURVE,,,,,,,,,,,,,,,,,,,,YIELDCURVEPOINT,,,/YIELDCURVEPOINT,/YIELDCURVE
CALCULATION_FORMAT,CURR.INSID,DATA,ESTIMATION_TYPE,EXTRAPOL_TYPE_LONG_END,EXTRAPOL_TYPE_SHORT_END,INTERPOLATION_TYPE,IPOL_RATE_TYPE,IR_FORMAT,REF_INSADDR.EXTERN_ID1,REF_INSADDR.INSID,RISK_TYPE,STORAGE_CALC_TYPE,STORAGE_DAYCOUNT,STORAGE_RATE_TYPE,UNDERLYING_YIELD_CURVE,UNDERLYING_YIELD_CURVE_SEQNBR.YIELD_CURVE_NAME,UPDATE_INTERVAL,YIELD_CURVE_NAME,YIELD_CURVE_TYPE,INSADDR.EXTERN_ID1,INSADDR.INSID,VALUE,,
Default,EUR,,Boot Strap,Default,Default,Piecewise Quadratic (Cont Fwd),Spot Rate,Zero Coupon Curve,EONIA,EUR/EONIA,Interest Rate,Spot Rate,Act/360,Daily,EUR-ESTR,EUR-ESTR,60,EUR-EONIA,Spread,ESTRON,EUR/ESTR,0.00085,,
,,,,,,,,,,,,,,,,,,,,,EUR/IRS/ES1D-F/1W,0.00085,,
,,,,,,,,,,,,,,,,,,,,,EUR/IRS/ES1D-F/2W,0.00085,,
,,,,,,,,,,,,,,,,,,,,,EUR/IRS/ES1D-F/1M,0.00085,,
,,,,,,,,,,,,,,,,,,,,,EUR/IRS/ES1D-F/2M,0.00085,,
,,,,,,,,,,,,,,,,,,,,,EUR/IRS/ES1D-F/4M,0.00085,,
,,,,,,,,,,,,,,,,,,,,,EUR/IRS/ES1D-F/5M,0.00085,,
,,,,,,,,,,,,,,,,,,,,,EUR/IRS/ES1D-F/6M,0.00085,,
,,,,,,,,,,,,,,,,,,,,,EUR/IRS/ES1D-F/7M,0.00085,,
,,,,,,,,,,,,,,,,,,,,,EUR/IRS/ES1D-F/8M,0.00085,,
,,,,,,,,,,,,,,,,,,,,,EUR/IRS/ES1D-F/9M,0.00085,,
,,,,,,,,,,,,,,,,,,,,,EUR/IRS/ES1D-F/10M,0.00085,,
,,,,,,,,,,,,,,,,,,,,,EUR/IRS/ES1D-F/11M,0.00085,,
,,,,,,,,,,,,,,,,,,,,,EUR/IRS/ES1D-F/12M,0.00085,,
,,,,,,,,,,,,,,,,,,,,,EUR/IRS/ES1D-F/18M,0.00085,,
,,,,,,,,,,,,,,,,,,,,,EUR/IRS/ES1D-F/3M,0.00085,,
,,,,,,,,,,,,,,,,,,,,,EUR/IRS/ES1D-F/9Y,0.00085,,
,,,,,,,,,,,,,,,,,,,,,EUR/IRS/ES1D-F/8Y,0.00085,,
,,,,,,,,,,,,,,,,,,,,,EUR/IRS/ES1D-F/7Y,0.00085,,
,,,,,,,,,,,,,,,,,,,,,EUR/IRS/ES1D-F/6Y,0.00085,,
,,,,,,,,,,,,,,,,,,,,,EUR/IRS/ES1D-F/5Y,0.00085,,
,,,,,,,,,,,,,,,,,,,,,EUR/IRS/ES1D-F/50Y,0.00085,,
,,,,,,,,,,,,,,,,,,,,,EUR/IRS/ES1D-F/4Y,0.00085,,
,,,,,,,,,,,,,,,,,,,,,EUR/IRS/ES1D-F/40Y,0.00085,,
,,,,,,,,,,,,,,,,,,,,,EUR/IRS/ES1D-F/3Y,0.00085,,
,,,,,,,,,,,,,,,,,,,,,EUR/IRS/ES1D-F/30Y,0.00085,,
,,,,,,,,,,,,,,,,,,,,,EUR/IRS/ES1D-F/2Y,0.00085,,
,,,,,,,,,,,,,,,,,,,,,EUR/IRS/ES1D-F/25Y,0.00085,,
,,,,,,,,,,,,,,,,,,,,,EUR/IRS/ES1D-F/20Y,0.00085,,
,,,,,,,,,,,,,,,,,,,,,EUR/IRS/ES1D-F/15Y,0.00085,,
,,,,,,,,,,,,,,,,,,,,,EUR/IRS/ES1D-F/12Y,0.00085,,
,,,,,,,,,,,,,,,,,,,,,EUR/IRS/ES1D-F/11Y,0.00085,,
,,,,,,,,,,,,,,,,,,,,,EUR/IRS/ES1D-F/10Y,0.00085,,
,,,,,,,,,,,,,,,,,,,,,EUR/IRS/ES1D-F/60Y,0.00085,,
,,,,,,,,,,,,,,,,,,,,,EUR/IRS/ES1D-F/3W,0.00085,,
,,,,,,,,,,,,,,,,,,,,,EUR/IRS/ES1D-F/33M,0.00085,,
,,,,,,,,,,,,,,,,,,,,,EUR/IRS/ES1D-F/30M,0.00085,,
,,,,,,,,,,,,,,,,,,,,,EUR/IRS/ES1D-F/27M,0.00085,,
,,,,,,,,,,,,,,,,,,,,,EUR/IRS/ES1D-F/24Y,0.00085,,
,,,,,,,,,,,,,,,,,,,,,EUR/IRS/ES1D-F/23Y,0.00085,,
,,,,,,,,,,,,,,,,,,,,,EUR/IRS/ES1D-F/22Y,0.00085,,
,,,,,,,,,,,,,,,,,,,,,EUR/IRS/ES1D-F/21Y,0.00085,,
,,,,,,,,,,,,,,,,,,,,,EUR/IRS/ES1D-F/21M,0.00085,,
,,,,,,,,,,,,,,,,,,,,,EUR/IRS/ES1D-F/19Y,0.00085,,
,,,,,,,,,,,,,,,,,,,,,EUR/IRS/ES1D-F/18Y,0.00085,,
,,,,,,,,,,,,,,,,,,,,,EUR/IRS/ES1D-F/17Y,0.00085,,
,,,,,,,,,,,,,,,,,,,,,EUR/IRS/ES1D-F/16Y,0.00085,,
,,,,,,,,,,,,,,,,,,,,,EUR/IRS/ES1D-F/15M,0.00085,,
,,,,,,,,,,,,,,,,,,,,,EUR/IRS/ES1D-F/14Y,0.00085,,
,,,,,,,,,,,,,,,,,,,,,EUR/IRS/ES1D-F/13Y,0.00085,,
