YIELDCURVE,,,,,,,,,,,,,,,,,,,YIELDCURVEPOINT,,/YIELDCURVEPOINT,BENCHMARK,,,/BENCHMARK,/YIELDCURVE
CALCULATION_FORMAT,CURR.INSID,DATA,DEPENDENCY_YIELD_CURVE_SEQNBR.YIELD_CURVE_NAME,ESTIMATION_TYPE,EXTRAPOL_TYPE_LONG_END,EXTRAPOL_TYPE_SHORT_END,FORWARD_PERIOD,INTERPOLATION_TYPE,IPOL_RATE_TYPE,IR_FORMAT,RISK_TYPE,STORAGE_CALC_TYPE,STORAGE_DAYCOUNT,STORAGE_RATE_TYPE,UPDATE_INTERVAL,USE_BM_DATES,YIELD_CURVE_NAME,YIELD_CURVE_TYPE,INSADDR.INSID,VALUE,,BENCHMARK_SHIFT_TYPE,INSTRUMENT.INSID,SPREAD_TYPE,,
Use Storage Format,SGD,,USD-SOFR,Boot Strap,Default,Flat,1d,Linear RT,Spot Rate,Zero Coupon Curve,FX,Spot Rate,Act/360,Continuous,60,1,SGD-FX,Benchmark,USD-SGD/FXS/ON,0,,Up,USD-SGD/FXS/ON,No,,
,,,,,,,,,,,,,,,,,,,USD-SGD/FXS/7M,0,,Up,USD-SGD/FXS/7M,No,,
,,,,,,,,,,,,,,,,,,,USD-SGD/FXS/8M,0,,Up,USD-SGD/FXS/8M,No,,
,,,,,,,,,,,,,,,,,,,USD-SGD/FXS/9M,0,,Up,USD-SGD/FXS/9M,No,,
,,,,,,,,,,,,,,,,,,,USD-SGD/FXS/10M,0,,Up,USD-SGD/FXS/10M,No,,
,,,,,,,,,,,,,,,,,,,USD-SGD/FXS/11M,0,,Up,USD-SGD/FXS/11M,No,,
,,,,,,,,,,,,,,,,,,,USD-SGD/FXS/1W,0,,Up,USD-SGD/FXS/1W,No,,
,,,,,,,,,,,,,,,,,,,USD-SGD/FXS/2W,0,,Up,USD-SGD/FXS/2W,No,,
,,,,,,,,,,,,,,,,,,,USD-SGD/FXS/3W,0,,Up,USD-SGD/FXS/3W,No,,
,,,,,,,,,,,,,,,,,,,USD-SGD/FXS/1M,0,,Up,USD-SGD/FXS/1M,No,,
,,,,,,,,,,,,,,,,,,,USD-SGD/FXS/2M,0,,Up,USD-SGD/FXS/2M,No,,
,,,,,,,,,,,,,,,,,,,USD-SGD/FXS/3M,0,,Up,USD-SGD/FXS/3M,No,,
,,,,,,,,,,,,,,,,,,,USD-SGD/FXS/4M,0,,Up,USD-SGD/FXS/4M,No,,
,,,,,,,,,,,,,,,,,,,USD-SGD/FXS/5M,0,,Up,USD-SGD/FXS/5M,No,,
,,,,,,,,,,,,,,,,,,,USD-SGD/FXS/6M,0,,Up,USD-SGD/FXS/6M,No,,
